Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist,$87K - $173K (Employer provided),"Advanced analytics knowledge and application in the field of Statistics or Mathematical programming. This Senior Data Scientist works out of our Alameda,…&hellip;
Skills: Statistics, MATLAB, Software deployment, Spark, R",3.8,Abbott Laboratories,"Alameda, CA",-1,-1,-1,-1,-1,-1,-1,-1
Actuarial Data Scientist III,$149K - $239K (Employer provided),A bachelor's degree in a STEM field or equivalent experience. Analyze data and build predictive models using tools such as Python and R to support product…&hellip;,3.9,Expedia Group,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer - Rider,$90.00 - $100.00 Per Hour (Employer provided),"Nice to have experience - working directly with cross-functional teams (data analytics, data science, engineering) to align data engineering solutions with…&hellip;
Skills: Performance tuning, Spark, SQL, Scalability, Python",4.1,"Ursus, Inc.","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Healthcare Clinical Documentation Integrity (CDI) Consultant (Part-Time),$33.00 - $64.00 Per Hour (Employer provided),"Our hiring practices provide equal opportunity for employment without regard to race, religion, color, sex, gender, national origin, age, United States military…&hellip;
Skills: Microsoft Excel, Microsoft Outlook, Medicare, Writing skills, Public speaking",3.8,"Berkeley Research Group, LLC","Emeryville, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$170K - $213K (Employer provided),"Effective communicator — able to tell the story behind the model to both highly technical and non-technical audiences. Base salary range for this role varies.&hellip;
Skills: Pricing, Software deployment, Spark, SQL, Experimental design",3.3,Opendoor,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Senior Software Engineer,$134K - $242K (Employer provided),"Use the latest cloud technologies to own, design, implement, and test scalable distributed data systems in the cloud. This role is categorized as hybrid.&hellip;
Skills: Azure, SQL, Continuous improvement, Requirements analysis, Mentoring",3.6,General Motors,"Mountain View, CA",-1,-1,-1,-1,-1,-1,-1,-1
Sr Software Engineer,$145K - $204K (Employer provided),"Bachelor’s degree or better in Computer Science or a related technical field or equivalent job experience. Innovation: We develop and implement groundbreaking…&hellip;
Skills: Computer science, Gradle, Android, Databases, Mentoring",-1,Disney Entertainment and ESPN Product & Technology,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Research Data Scientist,$69K - $100K (Employer provided),"BA/BS with a major in a related field of quantitative science (e.g. data science, statistics, public health, epidemiology) and one+ years experience in project…&hellip;
Skills: Clinical research, Biostatistics, R, SQL, Database design",3.9,University of California San Francisco,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$129K - $204K (Glassdoor est.),"We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving…&hellip;
Skills: Data visualization",5.0,BICP,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Principal Machine Learning Engineer,$198K - $374K (Employer provided),"Provide technical leadership and mentorship, guiding teams on platform design, architecture decisions, and emerging technologies.&hellip;
Skills: TensorFlow, Performance tuning, Computer science, Azure, AWS",3.6,General Motors,"Sunnyvale, CA",-1,-1,-1,-1,-1,-1,-1,-1
Staff ML Engineer - Offboard Embodied AI,$180K - $280K (Employer provided),"Collaborate with cross-functional teams to integrate & built distillation recipes of Robotics foundation models for onboard driving models .&hellip;
Skills: TensorFlow, Software deployment, Spark, Research, Mentoring",3.6,General Motors,"Mountain View, CA",-1,-1,-1,-1,-1,-1,-1,-1
Lead Machine Learning Engineer - ESPN+ Personalization,$172K - $246K (Employer provided),"Excellent cross-functional communication; experience mentoring engineers and driving engineering standards. You will set technical standards, establish MLOps…&hellip;
Skills: Cost management, TensorFlow, Cloud infrastructure, Go, Kubernetes",-1,Disney Entertainment and ESPN Product & Technology,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
"Senior Data Scientist, Analytics",$196K - $221K (Employer provided),"What you'll be doing Partner with teams throughout Discord through the full lifecycle of data science analytics from ideation and exploratory analysis, to…&hellip;
Skills: Tableau, SQL, Analysis skills, Experimental design, Scalability",4.0,Discord,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$140K - $200K (Employer provided),"Own data & evaluation across multiple customer projects - design metrics, run experiments, and build dashboards to track model and workflow performance.&hellip;
Skills: Research, SQL, Machine learning, Experimental design, Scalability",-1,FurtherAI,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$92K - $139K (Employer provided),"The successful candidate will bring extensive methodological experience, technical skill with analysis tools and software, and content knowledge in early…&hellip;
Skills: Statistics, Writing skills, Databases, Analysis skills, Supervising experience",4.3,Stanford University,"Stanford, CA",-1,-1,-1,-1,-1,-1,-1,-1
